Wavelength,O5V,B5V,A5V,F5V,G5V,K5V,M5V
6110,181925.399,5868.904,635.747,174.948,43.8,7.499,0.014
6130,180896.333,5840.91,628.902,171.166,42.465,7.002,0.014
6150,180083.709,5784.919,622.73,172.56,43.395,7.496,0.015
6170,178358.628,5785.293,626.403,171.138,42.359,6.743,0.011
6190,177995.629,5763.27,632.639,176.771,44.577,7.675,0.012
6210,176943.226,5737.016,631.053,177.254,44.863,7.59,0.011
6230,175154.855,5705.413,626.403,175.252,43.975,7.435,0.011
6250,174855.138,5659.19,616.103,171.387,43.045,7.237,0.011
6270,173826.062,5658.878,627.685,177.834,44.994,7.582,0.012
6290,172823.613,5632.252,626.555,178.386,45.318,7.854,0.013
6310,170995.287,5601.644,620.318,175.335,44.372,7.69,0.014
6330,170815.453,5581.674,620.622,176.619,44.837,7.87,0.014
6350,169793.052,5491.965,614.473,177.199,45.179,7.99,0.014
6370,168837.235,5489.166,614.755,177.199,45.188,8.028,0.015
6390,167821.496,5506.461,616.428,178.497,45.666,8.26,0.015
6410,166033.124,5474.546,609.844,175.487,44.773,8.084,0.014
6430,165946.518,5463.037,611.039,177.226,45.492,8.184,0.014
6450,164894.149,5428.012,603.803,176.688,45.302,8.044,0.014
6470,163918.354,5413.081,605.781,176.84,45.26,8.029,0.014
6490,163052.469,5379.176,596.675,175.418,44.933,7.986,0.014
6510,162056.694,5338.427,590.765,177.599,45.997,8.405,0.015
6530,160095.155,5277.647,566.296,176.495,46.073,8.631,0.016
6550,157767.241,4927.085,482.699,164.801,44.234,8.505,0.016
6561,146625.554,4234.565,388.937,138.091,38.982,8.455,0.015
6590,158047.005,5143.395,538.047,173.264,45.569,8.652,0.016
6610,157674.014,5223.959,579.443,178.938,46.745,8.782,0.016
6630,156811.447,5219.292,591.308,179.504,46.66,8.833,0.016
6650,155938.903,5208.966,594.937,179.905,46.812,8.895,0.016
6670,154400.31,5159.756,595.372,179.063,46.497,8.738,0.015
6690,152565.302,5138.791,596.915,181.244,47.386,8.849,0.013
6710,153158.083,5141.466,596.024,179.85,46.613,8.506,0.012
